,id,name,class,public_opinion,response_time,establishment_time,office_start,office_end,public_impact,address,latitude,longitude
0,1,All INDIA Human Right Protection,"[1, 2]",4.0,3.0,2008.0,1.0,0.0,5.0, Ceat Tyre Road Bhandup West Mumbai - 400078,0.0,0.0
1,2,Athurta Foundation,"[3, 5, 7]",4.0,0.0,2012.0,1000.0,1800.0,2.0, Off Marve Road Malad West mumbai - 400095,72.94411,19.154848
2,3,Save the Smile Social Foundation,"[12, 11, 10, 6, 8, 5]",4.0,3.0,2015.0,1000.0,1830.0,2.0, Nityanand Nagar Road Ghatkopar West Mumbai - 400086,72.83263,19.18073
3,4,The Child Health Foundation,"[5, 12, 22]",4.4,0.0,2005.0,1000.0,1830.0,4.0, Kapad Bazar Road Mahim Mumbai - 400016,72.9078,19.0905
4,5,Om Laxmi Charitable Trust,"[4, 5, 12, 2, 8, 9, 22]",2.5,2.0,2018.0,7000.0,2000.0,1.0, Gandhi Nagar Link Road Kandivali West Mumbai - 400067,72.843932,19.040405
5,6,Kamal Arnav Charitable Trust,"[3, 8, 5]",4.5,2.0,2014.0,1000.0,2000.0,2.0, Sector 6 New Panvel Navi Mumbai - 410206,72.8351,19.213467
6,7,YUG Foundation,"[2, 8, 6, 7, 3]",4.0,3.0,2015.0,0.0,2359.0,4.0, Mahatma Phule Road Dombivli West Mumbai - 421202,72.98997,19.07182
7,8,Shri Babasai Bahuuddeshiya Sevabhavi Sanstha ,"[8, 3, 9, 6, 13]",3.5,3.0,2016.0,0.0,2359.0,2.0, 9 Green Square Kasarvadavali Thane - 400615,10.41944,5.47944
8,9,Islamic Social and Cultural Foundation,"[2, 5, 6, 13, 9, 14, 12]",5.0,3.0,2005.0,0.0,2359.0,5.0, Post - Bhiwandi Bhiwandi Thane - 421302,151.702656,-28.160161
9,10,Abundant Life Ministries,"[3, 2, 8, 22]",4.0,2.0,1999.0,9000.0,1700.0,5.0, Chapel Road Bandra West Mumbai - 400050,73.091442,19.325121
10,11,Child Vision and Education,"[3, 9, 15, 6, 16, 17]",4.0,3.0,1998.0,1000.0,1900.0,5.0, Nupur Gally Mira Road Thane - 401107,72.84056,19.05444
11,12,Sarah Help Foundation,[17],4.0,1.0,2018.0,1000.0,1800.0,1.0, 90 Feet Road Dharavi Mumbai - 400017,72.86497,19.28336
12,13,Muskan Foundation,"[3, 15, 18, 19]",4.5,3.0,2007.0,930.0,1630.0,5.0,Prashanti Bugalow No 15 Bandra East Mumbai - 400051,72.853376,19.045171
13,14,Aarna Foundation,"[3, 2, 5]",4.5,3.0,2012.0,900.0,2100.0,1.0, Gyanda Society Thane West Thane - 400606,8.0,61.0
14,15,Sanjeevani Health Care Foundation,"[2, 3, 20, 9]",4.0,2.0,2015.0,900.0,1730.0,2.0, Chinchpada Kalyan East Thane - 421306,72.96333,19.18
15,16,Satkarma Ashram,"[3, 5, 6]",3.5,2.0,2000.0,1000.0,2000.0,2.0, Sonivali Earanjad Road Badlapur Thane - 421503,73.15,19.25
16,17,Shiwalaya,"[13, 2, 5, 18]",5.0,2.0,2002.0,0.0,2359.0,0.0, Kalyan Murbad Road Murbad thane - 421401,0.0,0.0
17,18,Aashapura Maa Foundation & Charitable Trust,"[3, 13, 9, 5, 20]",3.5,3.0,2012.0,1000.0,1830.0,2.0, S V Road Dahisar Mumbai - 400068,103.84935,1.308178
18,19,Red Swastik Society,"[5, 3, 8, 2, 18, 13]",3.5,3.0,2001.0,1000.0,1800.0,5.0, Dr D N Road Fort Mumbai - 400001,72.853775,19.222544
19,20,Sai Enpowerment Foundation,"[5, 2, 21]",3.5,3.0,2012.0,930.0,1830.0,2.0, Bank Road Thakur Village-Kandivali East Mumbai - 400101,72.83384,18.93631
20,21,Mauli Foundation,"[5, 22]",4.5,2.0,2016.0,1100.0,1600.0,2.0, Teli Gali Cross Road Andheri East Mumbai - 400069,72.8728,19.1955
21,22,Anand Seva Sangh,"[5, 22, 9, 12]",3.5,2.0,2007.0,1000.0,1800.0,4.0, L B S Marg Ghatkopar West Mumbai - 400086,72.859955,19.11545
22,23,Second Inning House(om Shree Sai Foundation),"[3, 13]",3.5,3.0,2015.0,0.0,2359.0,2.0, By Pass Road Virar East mumbai - 401206,72.9078,19.0905
23,24,Akshara Samajik Pratisthan,"[9, 16, 17]",4.5,2.0,0.0,1000.0,1800.0,4.0, Chandroday CHS Chembur East Mumbai - 400071,72.83333,18.96667
24,25,Child Help Foundation,"[3, 2, 9, 18, 16, 20, 9, 15, 23]",3.5,3.0,2009.0,930.0,1800.0,4.0, 403/404 Mira Road Thane - 401107,72.89969,19.05871
25,26,Jan Swarajya Seva Foundation,"[5, 8, 9, 16, 10]",4.0,3.0,2018.0,1000.0,1800.0,1.0, Gouripada Talav Road Kalyan City Thane - 421301,-1.321541,51.400927
26,27,Mahavir Ahinsa Sanskar Jagruti Sanstha,"[24, 2, 5, 9, 22]",3.5,2.0,2010.0,0.0,2359.0,4.0, Near Vikhroli Fatak Vikhroli East Mumbai - 400083,73.117017,19.248429
27,28,Shree Manamv Seva Sangh,"[13, 5, 2, 3]",4.0,3.0,1924.0,1000.0,1800.0,5.0, Sion Road Sion Mumbai - 400022,72.937616,19.089471
28,29,YMCA Colaba,"[17, 22]",4.0,2.0,1844.0,0.0,0.0,5.0, 12 Nathalal Parekh Marg Colaba Mumbai - 400005,4.352249,50.79227
29,30,YMCA Andheri,[22],4.0,2.0,1974.0,1000.0,1800.0,4.0, D N NagarAndheri West Mumbai - 400053,18.82556,47.83139
30,31,G5A,"[5, 8, 27]",4.5,2.0,1030.0,1030.0,1830.0,1.0,G5A Laxmi Mills Estate Mahalaxmi Mumbai - 400011,10.41944,5.47944
31,32,Ymca International House,"[27, 17]",4.5,1.0,0.0,1030.0,1830.0,0.0,18 YMCA Road Mumbai Central Mumbai - 400008,20.6903,38.449917
32,33,Vatsalya Trust,[24],4.5,3.0,1982.0,1100.0,1700.0,4.0, Near Kanjurmarg Police StationKanjurmarg East Mumbai - 400042,72.8235,18.9757
33,34,Society For The Preventation Of Cruelty To Animals,[24],3.5,3.0,2002.0,0.0,2359.0,4.0, Kolshet Road Azad Nagar-Thane West Thane - 400607,32.49481,37.905155
34,35,YMCA Khar,"[5, 3, 8]",4.5,2.0,1992.0,1000.0,1900.0,4.0, YMCA Road Khar West Mumbai - 400052,72.97186,19.211493
35,36,YMCA Borivali,[22],4.0,3.0,2007.0,600.0,2100.0,4.0, Holy Cross Road Borivali West Mumbai - 400103,72.83054,18.924595
36,37,Charity Organization Maharashtra State,[22],3.5,2.0,1998.0,1000.0,1830.0,2.0, Dr Annie Besant Road Worli Mumbai - 400018,72.85015,19.249447
37,38,Kalaghoda Association,[22],4.0,3.0,1998.0,1000.0,1700.0,4.0, V B Gandhi Marg Fountain Mumbai - 400001,6.5833,52.9167
38,39,St Catherines Home,"[5, 3, 6, 22]",4.2,2.0,1922.0,900.0,1730.0,5.0,Veera Desai Road Andheri West Mumbai - 400058,4.894932,52.375385
39,40,Bombay Natural History Society,"[25, 8]",4.2,2.0,1833.0,930.0,1730.0,5.0, Shaheed Bhagat Singh Road Fort Mumbai - 400001,72.830765,19.135551
40,41,Bombay Society For Prevention of Cruelty To Animals,"[22, 24]",3.8,3.0,1833.0,0.0,2359.0,5.0, Dr. S S Rao Road Parel Mumbai - 400012,72.8387,18.9336
41,42,Nana Palkar Smruti Samiti,"[22, 12]",4.0,3.0,1968.0,0.0,2359.0,5.0, Rugna Seva Sadan Marg & Dr Babsaheb Ambedkar Road Parel Mumbai - 400012,6.5833,52.9167
42,43,Child Rights And You,"[1, 5, 22]",4.2,2.0,1964.0,900.0,1700.0,4.0, Sane Guruji Marg Mahalaxmi Mumbai - 400011,0.0,0.0
